"match.id","team.name","formation","player.name","position.name","time.start","time.end","first.half","second.half","ot.first.half","ot.second.half","time.play"
"1","Nigeria","352","Odion Jude Ighalo","Left Center Forward",84.05,89.78,0,0,0,0,5.73
"1","Nigeria","352","Alex Iwobi","Left Center Midfield",89.67,89.78,0,0,0,0,0.109999999999999
"1","Nigeria","3412","Francis Odinaka Uzoho","Goalkeeper",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Leon-Aderemi Balogun","Right Center Back",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","William Troost-Ekong","Center Back",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Kenneth Josiah Omeruo","Left Back",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","John Michael Nchekwube Obinna","Center Defensive Midfield",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Victor Moses","Right Midfield",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Onyinye Wilfred Ndidi","Center Midfield",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Tyronne Ebuehi","Left Midfield",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Alex Iwobi","Center Attacking Midfield",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Odion Jude Ighalo","Right Center Forward",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Nigeria","3412","Ahmed Musa","Left Center Forward",89.78,90,0,6.56999999999999,0,0,6.78999999999999
"1","Iceland","442","Hannes Þór Halldórsson","Goalkeeper",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Birkir Már Sævarsson","Right Back",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Kári Árnason","Right Center Back",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Ragnar Sigurðsson","Left Center Back",0,64.22,2.03,0,0,0,66.25
"1","Iceland","442","Hörður Björgvin Magnússon","Left Back",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Aron Einar Gunnarsson","Right Defensive Midfield",0,86.57,2.03,0,0,0,88.6
"1","Iceland","442","Gylfi Þór Sigurðsson","Left Defensive Midfield",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Rúrik Gíslason","Right Midfield",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Birkir Bjarnason","Left Midfield",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Alfreð Finnbogason","Right Center Forward",0,73.42,2.03,0,0,0,75.45
"1","Iceland","442","Jón Daði Böðvarsson","Left Center Forward",0,70.25,2.03,0,0,0,72.28
"1","Iceland","442","Sverrir Ingi Ingason","Left Center Back",64.22,73.42,0,0,0,0,9.2
"1","Iceland","442","Björn Bergmann Sigurðarson","Left Center Forward",70.25,73.42,0,0,0,0,3.17
"1","Iceland","4411","Hannes Þór Halldórsson","Goalkeeper",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Birkir Már Sævarsson","Right Back",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Kári Árnason","Right Center Back",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Sverrir Ingi Ingason","Left Center Back",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Hörður Björgvin Magnússon","Left Back",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Aron Einar Gunnarsson","Right Defensive Midfield",73.42,86.57,0,0,0,0,13.15
"1","Iceland","4411","Gylfi Þór Sigurðsson","Left Defensive Midfield",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Rúrik Gíslason","Right Midfield",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Birkir Bjarnason","Left Midfield",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Björn Bergmann Sigurðarson","Center Attacking Midfield",73.42,76.75,0,0,0,0,3.33
"1","Iceland","4411","Alfreð Finnbogason","Center Forward",73.42,76.75,0,0,0,0,3.33
"1","Iceland","442","Hannes Þór Halldórsson","Goalkeeper",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Birkir Már Sævarsson","Right Back",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Kári Árnason","Right Center Back",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Sverrir Ingi Ingason","Left Center Back",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Hörður Björgvin Magnússon","Left Back",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Aron Einar Gunnarsson","Right Defensive Midfield",76.75,86.57,0,0,0,0,9.81999999999999
"1","Iceland","442","Gylfi Þór Sigurðsson","Left Defensive Midfield",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Rúrik Gíslason","Right Midfield",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Birkir Bjarnason","Left Midfield",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Alfreð Finnbogason","Right Center Forward",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Björn Bergmann Sigurðarson","Left Center Forward",76.75,90.75,0,6.56999999999999,0,0,20.57
"1","Iceland","442","Ari Freyr Skúlason","Right Defensive Midfield",86.57,90.75,0,6.56999999999999,0,0,10.75
"1","Iceland","442","Hannes Þór Halldórsson","Goalkeeper",90,90,0,5.81999999999999,0,0,5.81999999999999
"1","Iceland","442","Birkir Már Sævarsson","Right Back",90,90,0,5.81999999999999,0,0,5.81999999999999
"1","Iceland","442","Kári Árnason","Right Center Back",90,90,0,5.81999999999999,0,0,5.81999999999999
